Exiting
         839940 function calls (834012 primitive calls) in 9.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    569/1    0.003    0.000    9.133    9.133 {built-in method builtins.exec}
        1    0.000    0.000    9.133    9.133 main.py:1(<module>)
        1    0.012    0.012    8.720    8.720 main.py:8(main)
      679    0.003    0.000    5.803    0.009 ui.py:50(check_selection)
      679    5.800    0.009    5.800    0.009 {waitKey}
      679    0.365    0.001    1.522    0.002 utils.py:75(overlay_images)
      679    0.513    0.001    1.157    0.002 utils.py:65(get_colored_areas)
        1    0.107    0.107    0.739    0.739 utils.py:10(init)
      679    0.002    0.000    0.643    0.001 <__array_function__ internals>:2(where)
      681    0.641    0.001    0.641    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
    291/1    0.002    0.000    0.412    0.412 <frozen importlib._bootstrap>:978(_find_and_load)
    286/1    0.001    0.000    0.412    0.412 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    270/1    0.002    0.000    0.412    0.412 <frozen importlib._bootstrap>:663(_load_unlocked)
    223/1    0.001    0.000    0.412    0.412 <frozen importlib._bootstrap_external>:722(exec_module)
    404/1    0.000    0.000    0.412    0.412 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.412    0.412 ui.py:1(<module>)
      679    0.012    0.000    0.348    0.001 ui.py:11(display_ui)
   589143    0.305    0.000    0.305    0.000 threaded_capture.py:32(get_frame)
  270/119    0.001    0.000    0.298    0.003 <frozen importlib._bootstrap>:576(module_from_spec)
     42/9    0.000    0.000    0.295    0.033 <frozen importlib._bootstrap_external>:1040(create_module)
     42/9    0.112    0.003    0.295    0.033 {built-in method _imp.create_dynamic}
    417/7    0.001    0.000    0.287    0.041 {built-in method builtins.__import__}
   933/53    0.001    0.000    0.281    0.005 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.247    0.247    0.248    0.248 threaded_capture.py:14(__init__)
     1358    0.201    0.000    0.201    0.000 {cvtColor}
        1    0.000    0.000    0.190    0.190 __init__.py:108(<module>)
      679    0.002    0.000    0.153    0.000 utils.py:32(get_mouse_position)
      679    0.003    0.000    0.152    0.000 __init__.py:750(position)
      679    0.004    0.000    0.148    0.000 _pyautogui_x11.py:25(_position)
      708    0.005    0.000    0.142    0.000 rq.py:1358(__init__)
      679    0.003    0.000    0.140    0.000 drawable.py:593(query_pointer)
        2    0.000    0.000    0.124    0.062 __init__.py:13(<module>)
        2    0.000    0.000    0.117    0.059 utils.py:1(<module>)
        1    0.000    0.000    0.114    0.114 __init__.py:7(<module>)
      708    0.003    0.000    0.113    0.000 rq.py:1371(reply)
      711    0.015    0.000    0.112    0.000 display.py:387(send_and_recv)
      679    0.102    0.000    0.102    0.000 {rectangle}
      679    0.095    0.000    0.095    0.000 {imshow}
        1    0.075    0.075    0.075    0.075 {namedWindow}
      223    0.003    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      278    0.002    0.000    0.060    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      274    0.000    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      274    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.000    0.000    0.051    0.051 _pyautogui_x11.py:3(<module>)
      513    0.006    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        3    0.000    0.000    0.050    0.017 __init__.py:21(<module>)
     1421    0.041    0.000    0.041    0.000 {built-in method select.select}
      710    0.005    0.000    0.038    0.000 display.py:677(parse_response)
     1127    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      320    0.001    0.000    0.037    0.000 overrides.py:187(decorator)
     1129    0.037    0.000    0.037    0.000 {built-in method posix.stat}
     1358    0.033    0.000    0.033    0.000 {putText}
        1    0.000    0.000    0.032    0.032 multiarray.py:7(<module>)
      223    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
  818/808    0.014    0.000    0.032    0.000 {built-in method builtins.__build_class__}
      223    0.030    0.000    0.030    0.000 {built-in method marshal.loads}
      708    0.005    0.000    0.030    0.000 display.py:782(parse_request_response)
        1    0.000    0.000    0.029    0.029 display.py:23(<module>)
      223    0.018    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.028    0.028 overrides.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _internal.py:6(<module>)
      8/5    0.000    0.000    0.024    0.005 __init__.py:109(import_module)
      8/5    0.000    0.000    0.024    0.005 <frozen importlib._bootstrap>:994(_gcd_import)
      320    0.023    0.000    0.023    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.023    0.023 __init__.py:9(<module>)
        2    0.000    0.000    0.022    0.011 display.py:88(__init__)
        1    0.000    0.000    0.022    0.022 numeric.py:1(<module>)
        2    0.000    0.000    0.022    0.011 __init__.py:49(backend)
        2    0.000    0.000    0.021    0.010 _xorg.py:19(<module>)
      711    0.013    0.000    0.020    0.000 rq.py:983(to_binary)
      708    0.002    0.000    0.019    0.000 rq.py:1391(_parse_response)
  728/712    0.009    0.000    0.018    0.000 rq.py:1135(parse_binary)
        1    0.000    0.000    0.018    0.018 __init__.py:10(<module>)
        1    0.000    0.000    0.018    0.018 platform.py:10(<module>)
     1358    0.018    0.000    0.018    0.000 {getWindowImageRect}
      391    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.016    0.016 py3k.py:12(<module>)
      361    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.015    0.015 Image.py:27(<module>)
        2    0.000    0.000    0.014    0.007 shape_base.py:1(<module>)
     2211    0.014    0.000    0.014    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.014    0.014 xorg.py:19(<module>)
      153    0.001    0.000    0.014    0.000 re.py:273(_compile)
        3    0.000    0.000    0.014    0.005 threading.py:264(wait)
        1    0.000    0.000    0.013    0.013 __init__.py:172(__enter__)
        1    0.000    0.000    0.013    0.013 __init__.py:124(<module>)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
       36    0.000    0.000    0.013    0.000 sre_compile.py:759(compile)
       32    0.000    0.000    0.013    0.000 re.py:234(compile)
        1    0.000    0.000    0.013    0.013 _pickle.py:1(<module>)
        1    0.000    0.000    0.012    0.012 xorg.py:38(_check_and_initialize)
        1    0.000    0.000    0.012    0.012 subprocess.py:42(<module>)
    42/32    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    42/32    0.002    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
